"last_name, first_name","player_id","year","p_formatted_ip","p_era","pitch_hand","n","n_ff_formatted","n_sl_formatted","n_ch_formatted","n_cu_formatted","n_si_formatted","n_fc_formatted","n_fs_formatted","n_kn_formatted","n_st_formatted","n_sv_formatted","n_fo_formatted","n_sc_formatted","n_fastball_formatted","n_breaking_formatted","n_offspeed_formatted"
"Lackey, John","407793","2016","188.1","3.35","R","2833","37.1",,"5.5","13.6","20.9","22.9",,,,,,,"80.9","13.6","5.5"
"De La Rosa, Jorge","407822","2016","134.0","5.51","L","2333","31.4","0.6","1.2","9.7","1.5","22.5","33",,,,,,"55.4","10.3","34.3"
"Peavy, Jake","408241","2016","118.2","5.54","R","2015","27.1","0.7","6.8","14.6","17.4","33.4",,,,,,,"77.9","15.3","6.8"
"Wainwright, Adam","425794","2016","198.2","4.62","R","3168","13.1",,"2.6","26.8","27.6","30",,,,,,,"70.6","26.8","2.6"
"Greinke, Zack","425844","2016","158.2","4.37","R","2493","40.9","20.7","17.8","10.4","10.1",,,,,,,,"51","31.1","17.8"
"Santana, Ervin","429722","2016","181.1","3.38","R","2929","51.1","39.5","7.7",,"1.7",,,,,,,,"52.8","39.5","7.7"
"Hamels, Cole","430935","2016","200.2","3.32","L","3248","26.8",,"18.3","14.6","23.8","16.5",,,,,,,"67.1","14.6","18.3"
"Kazmir, Scott","431148","2016","136.1","4.56","L","2379","6.6","9.9","18.7","6","49","9.8",,,,,,,"65.4","15.9","18.7"
"Hernández, Félix","433587","2016","153.1","3.82","R","2453","17.8","5.7","24.5","19.9","32.1",,,,,,,,"49.9","25.6","24.5"
"Verlander, Justin","434378","2016","227.2","3.04","R","3663","57.8","17.8","8.5","15.9",,,,,,,,,"57.8","33.7","8.5"
"Liriano, Francisco","434538","2016","163.0","4.69","L","2792","2.4","29.1","19.5","0.1","48.9",,,,,,,,"51.3","29.2","19.5"
"Jiménez, Ubaldo","434622","2016","142.1","5.44","R","2487","29.2","16.5",,"7","27.1","0.4","19.9",,,,,,"56.7","23.5","19.9"
"Hammel, Jason","434628","2016","166.2","3.83","R","2623","29.1","36.3","2.7","10.4","21.5",,,,,,,,"50.6","46.7","2.7"
